Théâtres,1865-09-10,1865-09-11,1865-09-12,1865-09-13,1865-09-14,1865-09-15,1865-09-16,10 - 16 sept.
Opéra,,5875.45,,11154.12,,10915.58,,27945.15
Théâtre Français,1242.5,634.5,1192,873.5,1052,809,815,6618.5
Opéra-Comique,2751,1545.75,2912.5,2273,2577,1575.5,1885.5,15520.25
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,894.1,1643.6,4127.1,1010.6,3279.6,2026.1,3062.6,16043.7
Vaudeville,,,,,,,,
Théâtre des Variétés,943.5,1486,1594.5,1475.5,1191,1271.5,808.5,8770.5
Gymnase,485.25,414.25,535.75,979.25,794.75,637.25,456.25,4302.75
Palais-Royal,806.5,1270.25,1424.75,1411,1263.75,1223.5,739.5,8139.25
Porte Saint-Martin,2812.75,4352.75,5146.25,4004.25,4302,4404.5,3395.5,28418
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,9935.6,17222.55,16932.85,23181.22,14460.1,22862.93,11162.85,115758.1
