Théâtres,1865-09-03,1865-09-04,1865-09-05,1865-09-06,1865-09-07,1865-09-08,1865-09-09,3 - 9 sept.
Opéra,,10191.45,,8873.1,,,,19064.55
Théâtre Français,1237.5,573.5,1190.1,640,493.5,603.5,785.5,5523.6
Opéra-Comique,3225.5,3117.75,753.5,1277,1513.75,1344.25,1272,12503.75
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,2092.6,1852.1,964.1,3556.1,2672.1,742.6,2585.1,14464.7
Vaudeville,,,,,,,,
Théâtre des Variétés,724,514,997,688.5,509,504.5,1048,4985
Gymnase,875,557.75,663.75,348.25,213.5,371,447.75,3477
Palais-Royal,1780.5,1566,1233.25,950.25,827.5,829.25,1122.25,8309
Porte Saint-Martin,,,,,,,,
Gaîté,3265.25,3674.25,3345.75,,,,3673,13958.25
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,13200.35,22046.8,9147.45,16333.2,6229.35,4395.1,10933.6,82285.85
