Théâtres,1865-01-22,1865-01-23,1865-01-24,1865-01-25,1865-01-26,1865-01-27,1865-01-28,22 - 28 jan.
Opéra,4568.54,6613.64,,8555.14,,7815.95,,27553.27
Théâtre Français,3229,3820.5,2929.5,1866.5,3946.5,2832,5407.5,24031.5
Opéra-Comique,5062.75,2898,5487,2471,5701,3088,7332,32039.75
Théâtre des Italiens,7573,,6316,13602,5122,15005,7200,54818
Odéon,2366,1062.5,907,508,504.5,274.25,847.5,6469.75
Théâtre-Lyrique,4119.85,1191.35,,4705.35,1780.35,4812.85,2902.85,19512.6
Vaudeville,,,,,,,,
Théâtre des Variétés,2510.5,4243,4276,,4191,4143,4430,23793.5
Gymnase,2433.5,2732.25,3579.75,4307.5,4453.25,4643.5,4666.75,26816.5
Palais-Royal,2833,1722,1510.25,1653.75,1506.25,1811.75,2413.25,13450.25
Porte Saint-Martin,3963.75,2314.5,1964.25,1379.75,1647.75,1907.5,3010.75,16188.25
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2860.85,,1268.1,1053.1,1285.9,702.5,2152.65,9323.1
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,41520.74,26597.74,28237.85,40102.09,30138.5,47036.3,40363.25,253996.47
