Théâtres,1865-05-21,1865-05-22,1865-05-23,1865-05-24,1865-05-25,1865-05-26,1865-05-27, 21 - 27 mai
Opéra,,12189.66,,12230.29,,7179.88,,31599.83
Théâtre Français,1474.5,4888.5,5109,1690.5,5621.5,2291,,21075
Opéra-Comique,1757,3140,1736.5,5293,2965,3137,2623,20651.5
Théâtre des Italiens,,,,,,,,
Odéon,428.75,386.75,510,369.25,3351,308.75,173,5527.5
Théâtre-Lyrique,1014.85,4511.85,1500.85,5216.85,5485.35,1062.85,,18792.6
Vaudeville,,,,,,,,
Théâtre des Variétés,1618.5,1875,2733.5,3113,2555,2202,1508.5,15605.5
Gymnase,1316.25,1656.5,2193.25,2714,2243,1818.75,1066.5,13008.25
Palais-Royal,1014.75,,1915.25,1529,1230,1018.25,829.75,7537
Porte Saint-Martin,4102.5,4961.75,6149.75,6276.25,5342,5189.5,4316.75,36338.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,12727.1,33610.01,21848.1,38432.14,28792.85,24207.98,10517.5,170135.68
