Théâtres,1865-02-05,1865-02-06,1865-02-07,1865-02-08,1865-02-09,1865-02-10,1865-02-11, 5 - 11 fév.
Opéra,,9162.14,,7136.65,,9078.87,,25377.66
Théâtre Français,4502.5,3945,3759.4,3110.5,3685,3603,3385.5,25990.9
Opéra-Comique,6876,2981.5,5343,2568.5,4817.5,3200,5777.5,31564
Théâtre des Italiens,,,,4488,11049,,6672,22209
Odéon,1098,356.75,290.5,274.25,420,302,904.5,3646
Théâtre-Lyrique,5261.86,1863.35,1953.35,3520.85,1492.35,3419.85,2531.85,20043.46
Vaudeville,,,,,,,,
Théâtre des Variétés,3486,4184.5,4141.5,4252.5,4080.5,4193,4241,28579
Gymnase,2750.5,4077,4830,4839.5,4901.25,4800.5,4835,31033.75
Palais-Royal,,4009,4014.25,4026.75,4122.75,4025.25,4010.25,24208.25
Porte Saint-Martin,4778.75,3291.75,2570.75,2757,2768.75,2536.25,1843.75,20547
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2927.85,1360,1243.05,1054.15,2004.9,1116.55,993.7,10700.2
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,31681.46,35230.99,28145.8,38028.65,39342,36275.27,35195.05,243899.22
