An 1865 - Juin,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,11962.68,24127.08,35517.54,21754.05,31237.47,,124598.82
Théâtre Français,12981,22701,20958.5,15174.5,10868.5,,82683.5
Opéra-Comique,9475.5,17420,12508.75,11507,12077.5,,62988.75
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,10082.7,18734.6,17175.6,13648.6,13466.25,,73107.75
Vaudeville,,,,,,,
Théâtre des Variétés,,,9991,4121,4706.5,,18818.5
Gymnase,5525,8314.5,7437.25,2957.5,3116.75,,27351
Palais-Royal,4135.75,6642.75,8815.75,5685,5945.5,,31224.75
Porte Saint-Martin,16093,32639,27708.75,20264,18396,,115100.75
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,70255.63,130578.93,140113.14,95111.65,99814.47,,535873.82
