Théâtres,1865-08-27,1865-08-28,1865-08-29,1865-08-30,1865-08-31,1865-09-01,1865-09-02,27 - 31 août,1 - 2 sept.
Opéra,,10722.95,,10466.72,,10595.08,,21189.67,10595.08
Théâtre Français,1230.5,555.5,1297.5,1591,1078.5,1213,987.5,5753,2200.5
Opéra-Comique,2847,1123,3600,1637.5,3265.5,1917.25,2606,12473,4523.25
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,,,,,,2926.6,2606,,5532.6
Vaudeville,,,,,,,,,
Théâtre des Variétés,694.5,463.5,1489.5,924.5,1108.5,871.5,807,4680.5,1678.5
Gymnase,532.75,248.5,1172.75,730.25,809.25,1230,1030.75,3493.5,2260.75
Palais-Royal,811,1817.5,2512.75,2642,2611.75,2217,,10395,2217
Porte Saint-Martin,3004.25,3236.25,4636.5,4460.75,4167,4083.75,3696.75,19504.75,7780.5
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,9120,18167.2,14709,22452.72,13040.5,25054.18,11734,77489.42,36788.18
