Théâtres,1865-02-12,1865-02-13,1865-02-14,1865-02-15,1865-02-16,1865-02-17,1865-02-18, 12 - 18 fév.
Opéra,4905.53,7560.64,,7952.15,,9592.56,,30010.88
Théâtre Français,3955.5,3315,3295.5,2706,3643,3662,14441,35018
Opéra-Comique,5623,2667.75,4614.5,2596,5216.5,2979,6412.75,30109.5
Théâtre des Italiens,7079,,6598,8518,5028,,10750,37973
Odéon,1219.75,344.5,288,225,436.5,434.75,456.5,3405
Théâtre-Lyrique,3331.35,2513.85,3004.85,1999.35,2565.85,2736.35,,16151.6
Vaudeville,,,,,,,,
Théâtre des Variétés,2045.5,4277.5,4272,4088.5,4100.5,4194.5,4132,27110.5
Gymnase,3068.25,4840.25,4786,4765,4771.85,4824.75,4842.25,31898.35
Palais-Royal,4245.25,4021.25,4006.25,3816.75,4021.75,4102,4001.25,28214.5
Porte Saint-Martin,3925.75,2387,2531.5,1941.5,2007.5,2098,1772.25,16663.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2461.35,1237.15,1016.5,925.85,1077.55,1125,1097,8940.4
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,41860.23,33164.89,34413.1,39534.1,32869,35748.91,47905,265495.23
