Théâtres,1865-10-08,1865-10-09,1865-10-10,1865-10-11,1865-10-12,1865-10-13,1865-10-14,8 - 14 oct.
Opéra,4319.62,10574.04,,10552.16,,10584.79,,36030.61
Théâtre Français,3000,2265.5,1776.99,1970.5,2109,2286.5,2335,15743.49
Opéra-Comique,4627.5,2498.5,2955.5,2680.5,2222,2302.5,2832,20118.5
Théâtre des Italiens,,6572,4752,,6082,,5812,23218
Odéon,1705,661.25,507,381.75,485.25,292.25,371.25,4403.75
Théâtre-Lyrique,2983.1,1132.6,4454.6,1716.6,4847.25,658.6,3947.6,19740.35
Vaudeville,,,,,,,,
Théâtre des Variétés,2216,1561.5,1603.5,1636,1644,1750,1575.5,11986.5
Gymnase,2627.25,1390.75,1329,4929,1516,1133.25,1036.25,13961.5
Palais-Royal,2533.5,2454.25,2002.25,2110.25,1904.5,1909.5,1575.5,14489.75
Porte Saint-Martin,5225.25,5215.25,5443.75,5197.25,4973,4643.75,4836.25,35534.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,29237.22,34325.64,24824.59,31174.01,25783,25561.14,24321.35,195226.95
