Théâtres,1865-05-14,1865-05-15,1865-05-16,1865-05-17,1865-05-18,1865-05-19,1865-05-20,14 - 20 mai
Opéra,,12000.66,,12109.25,,12052.38,,36162.29
Théâtre Français,3276.5,5086.5,5165,519,5252.5,2358,5352,27009.5
Opéra-Comique,2920,3559,4909.25,2636,4499,1749.5,5474.5,25747.25
Théâtre des Italiens,,,,,,,,
Odéon,729,600,345.25,589.25,326.75,355.5,625.25,3571
Théâtre-Lyrique,1617.35,5167.35,6024.85,975.35,6116.85,1653.35,6009.35,27564.45
Vaudeville,,,,,,,,
Théâtre des Variétés,1229.5,2162,2300,2520.5,2303,2115,2474,15104
Gymnase,2611.25,1905.25,2356,2319.25,2521,2512.5,2172.25,16397.5
Palais-Royal,1407,958,928,815.5,909.5,1810.75,1713.25,8542
Porte Saint-Martin,6079.5,5943,6296,6334,6365.5,6269,6392.75,43679.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,19870.1,37381.76,28324.35,28818.1,28294.1,30875.98,30213.35,203777.74
