Théâtres,1865-07-16,1865-07-17,1865-07-18,1865-07-19,1865-07-20,1865-07-21,1865-07-22,16 - 22 juil.
Opéra,,7745.05,4752.5,9424.2,,8467.25,,30389
Théâtre Français,609.5,1367.5,1286.5,1852,3289.5,981,3169.5,12555.5
Opéra-Comique,1329,909.5,1550.5,2151,2861.5,2155.5,3122.5,14079.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,,,,,,,
Théâtre des Variétés,,636.5,247,1232.5,952.5,1171,957,5196.5
Gymnase,94.5,356.5,183.5,669,685.75,578.25,452.25,3019.75
Palais-Royal,320,1410.5,1305.75,2629.75,2610.5,2710,2505.75,13492.25
Porte Saint-Martin,1506.5,1995.75,2556.75,4044.5,4259.25,4287.75,3723.25,22373.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,3859.5,14421.3,11882.5,22002.95,14659,20350.75,13930.25,101106.25
