Théâtres,1865-12-10,1865-12-11,1865-12-12,1865-12-13,1865-12-14,1865-12-15,1865-12-16,10 - 16 déc.
Opéra,6560.95,6110.49,,10600.67,,9796.4,,33068.51
Théâtre Français,4674,4284.5,2899,3997.5,2289.5,3901,2552,24597.5
Opéra-Comique,5073,1820.5,,2786,2090,2775,2236,16780.5
Théâtre des Italiens,,3102,4966,,4312,,6089,18469
Odéon,2002.75,700.25,424.25,879.75,,350.25,608.35,4965.6
Théâtre-Lyrique,4811.1,,548.1,,1110.1,1373.1,,7842.4
Vaudeville,,,,,,,,
Théâtre des Variétés,5621.5,1587,1467,1494.5,1581,1830,1689.5,15270.5
Gymnase,2852.5,1055.5,1368,1264.75,1316.25,1362.75,1495,10714.75
Palais-Royal,3047.25,2268.75,2022,1910.5,1713.25,2115.25,,13077
Porte Saint-Martin,4829.5,3408.75,4419.75,3963.25,3701.5,3265.5,3875,27463.25
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,39472.55,24337.74,18114.1,26896.92,18113.6,26769.25,18544.85,172249.01
