Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Maupassant; Bel-Ami; Parte prima, V; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; chez Duroy; rue Boursault; 17; 48.885079, 2.318906; maison; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; chez Duroy; rue Boursault; 17; 48.885079, 2.318906; maison; Duroy, Clotilde de Marelle; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; chez Clotilde (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy, Clotilde de Marelle; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; Théâtre Folies-Bergère; 32 Rue Richer; 9; 48.874081, 2.344897; théâtre; Duroy, Rachel; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, V; chez Clotilde (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy, Clotilde de Marelle; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; Lathuile; 7 avenue de Clichy; 17; 48.884299, 2.326832; restaurant; Duroy, Clotilde de Marelle; exact; cité; droite; réel
Maupassant; Bel-Ami; Parte prima, V; Café Anglais;13 Boulevard des Italiens; 2; 48.871363, 2.337518; café; Duroy, Clotilde de Marelle; exact; cité; droite; réel
Maupassant; Bel-Ami; Parte prima, V; Bal de la Reine Blanche; 88 Boulevard Clichy; 18; 48.884074, 2.332349; bal; Duroy, Clotilde de Marelle; exact; cité; droite; réel
Maupassant; Bel-Ami; Parte prima, V; Bal de la Reine Blanche; 88 Boulevard Clichy; 18; 48.884074, 2.332349; bal; Duroy, Clotilde de Marelle; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, V; chez Clotilde de Marelle; rue de Verneuil; 5; 48.857955, 2.329253; maison; Duroy, Clotilde de Marelle; inexacte; vécu; gauche; fictif
Maupassant; Bel-Ami; Parte prima, V; “La Vie Française”; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy, Foucart; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; chez Clotilde (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy, Clotilde de Marelle; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; chez Duroy; rue Boursault; 17; 48.885079, 2.318906; maison; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; Théâtre Folies-Bergère; 32 Rue Richer; 9; 48.874081, 2.344897; théâtre; Duroy, Clotidel de Marelle; exact; cité; droite; réel
Maupassant; Bel-Ami; Parte prima, V; Théâtre Folies-Bergère; 32 Rue Richer; 9; 48.874081, 2.344897; théâtre; Duroy, Clotidel de Marelle, Rachel; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, VI; chez Forestier; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Forestier; exact; cité; droite; fictif
Maupassant; Bel-Ami; Parte prima, VI; Théâtre Folies-Bergère; 32 Rue Richer; 9; 48.874081, 2.344897; théâtre; Duroy, Rachel; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, VI; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy, Forestier; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, VI; chez Forestier; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Forestier; exact; cité; droite; fictif
Maupassant; Bel-Ami; Parte prima, VI; chez Walter; Boulevard Malesherbes; 17; 48.887608, 2.304538; maison; Duroy, madame Walter; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, VI; Théâtre de l’Odéon; Place de l’Odéon; 6; 48.849991, 2.338648; théâtre; Duroy, madame Walter; inexacte; cité; gauche; réel
Maupassant; Bel-Ami; Parte prima, VI; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy, Forestier, Boisrenard, Saint-Potin; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, VI; chez Duroy; rue Boursault; 17; 48.885079, 2.318906; maison; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, VI; chez Walter; Boulevard Malesherbes; 17; 48.887608, 2.304538; maison; Duroy, madame Walter, Firmin, Laroche-Mathieu, Forestier, Madeleine Forestier, Norbert de Varenne, Jacques Rival, Walter, Clotilde de Marelle, viscontessa de Percemur, Rose Walter, baronessa de Livar; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, VI; chez Norberte de Varenne; Rue de Bourgogne; 7; 48.860284, 2.31826; maison; Duroy, Norbert de Varenne; inexacte; vécu; gauche; fictif
Maupassant; Bel-Ami; Parte prima, VI; chez Clotilde de Marelle; rue de Verneuil; 5; 48.857955, 2.329253; maison; Duroy, Clotilde de Marelle; inexacte; vécu; gauche; fictif
