Théâtres,1866-09-23,1866-09-24,1866-09-25,1866-09-26,1866-09-27,1866-09-28,1866-09-29,23 - 29 sept.
Opéra,6735.05,9529.25,,6462.72,,7738.21,,30465.23
Théâtre Français,2169,1772.5,1917.5,2260,2105.5,1352,1549.5,13126
Opéra-Comique,5592.75,2179.25,3267,1406,3100,1629,3060,20234
Théâtre des Italiens,,,,,,,,
Odéon,3140.75,1020.75,968,1096.5,1101.5,541.5,627.25,8496.25
Théâtre-Lyrique,5667.6,2043.6,3504.6,2519.6,3002.1,1278.6,3332.6,21348.7
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,,1110,1402.75,1020.25,940,1038.5,,5511.5
Palais-Royal,,1907.75,2010.75,1806.25,1546,1409.5,2110,10790.25
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,23305.15,19563.1,13070.6,16571.32,11795.1,14987.31,10679.35,109971.93
