Théâtres,1866-07-22,1866-07-23,1866-07-24,1866-07-25,1866-07-26,1866-07-27,1866-07-28, 22 - 28 juil.
Opéra,,5553.13,,4585.08,,9552.99,,19691.2
Théâtre Français,736.5,651,349,627.5,715,599,531,4209
Opéra-Comique,1692.5,1661,1025.5,1353.5,2202.5,1332,1005.5,10272.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,,,,,,,
Théâtre des Variétés,558,,,1470,1531.5,1346.5,1154,6060
Gymnase,601,395,,577.5,492.25,428.75,1271.5,3766
Palais-Royal,517.75,419,,923,1016.21,714.75,1104.5,4695.21
Porte Saint-Martin,1846,1332.5,1283,1328.75,1121.5,1023.25,,7935
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,5951.75,10011.63,2657.5,10865.33,7078.96,14997.24,5066.5,56628.91
