Théâtres,1866-12-23,1866-12-24,1866-12-25,1866-12-26,1866-12-27,1866-12-28,1866-12-29,23 - 29 déc.
Opéra,,8093.04,,6225.75,,5963.38,,20282.17
Théâtre Français,3331,2498,3832.5,1966.5,2925,1764,3103,19420
Opéra-Comique,4258.5,1974,5858,1402,3210,1916,5087,23705.5
Théâtre des Italiens,882,,6546,,8536,,8087,24051
Odéon,2327.75,1131.75,1758.75,1342.75,,393.5,1698.25,8652.75
Théâtre-Lyrique,6195.5,4415.5,5321,2083.6,5613.5,2392.1,1720.6,27741.8
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3821.75,2867,3477.5,2539.25,2810.5,3154.25,3131,21801.25
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,20816.5,20979.29,26793.75,15559.85,23095,15583.23,22826.85,145654.47
