Théâtres,1866-03-04,1866-03-05,1866-03-06,1866-03-07,1866-03-08,1866-03-09,1866-03-10,4 - 10 mar.
Opéra,9706.22,4924.01,,7457.51,,11132.3,,33220.04
Théâtre Français,3131,6033.5,5805,5738.5,3038.5,5868.5,5806,35421
Opéra-Comique,6286,3557,4638,2215,6149,3625,4800,31270
Théâtre des Italiens,,5888,6599,,13511,,8990,34988
Odéon,1907,912.5,729,691.25,1568,292,1047,7146.75
Théâtre-Lyrique,4867.1,,1776.1,3896.6,5373.6,3521.1,4573.1,24007.6
Vaudeville,,,,,,,,
Théâtre des Variétés,4746,3915,4093,3912.5,4442,3886,4033,29027.5
Gymnase,3361.5,2634.25,2751.5,2885.25,3662,2439,2627.75,20361.25
Palais-Royal,3224.5,1728.5,2202.5,2011.5,3902.75,1673,,14742.75
Porte Saint-Martin,2413,,2760.5,3418,5355,2355,2181,18482.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,39642.32,29592.76,31354.6,32226.11,47001.85,34791.9,34057.85,248667.39
