Théâtres,1866-11-04,1866-11-05,1866-11-06,1866-11-07,1866-11-08,1866-11-09,1866-11-10,4 - 10 nov.
Opéra,5902,5561.69,,7645.95,,,,19109.64
Théâtre Français,3724.5,3096,2370.5,2487.5,2718,1420.5,3058,18875
Opéra-Comique,5480.5,1998,2564.5,2043,2922.5,2258.5,2489,19756
Théâtre des Italiens,,,10772,,4214,,10181,25167
Odéon,4125.25,3334,2769.75,3124.25,2885,406.5,3468,20112.75
Théâtre-Lyrique,4606.6,3777.1,2503.1,,3194.5,,3762.6,17843.9
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,4460.25,,4883,4679.75,,5005.25,4704.75,23733
Palais-Royal,4301.75,4060.25,4104.25,4190.25,,4231,4223.25,25110.75
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,32600.85,21827.04,29967.1,24170.7,15934,13321.75,31886.6,169708.04
