Théâtres,1866-07-08,1866-07-09,1866-07-10,1866-07-11,1866-07-12,1866-07-13,1866-07-14,8 - 14 juil.
Opéra,,6744.67,,4401.08,,4834.99,,15980.74
Théâtre Français,942,866.5,525,345,428.5,880.5,296.5,4284
Opéra-Comique,3186,556.5,1205.5,,514.5,461.5,,5924
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,,544.5,,,,,544.5
Théâtre des Variétés,2073,2839,,1516,,701,773,7902
Gymnase,1183.25,801.6,452.5,292.5,,,,2729.85
Palais-Royal,2000.5,934.75,425.5,377,,230,,3967.75
Porte Saint-Martin,2294,,,,,,,2294
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,11678.75,12743.02,3153,6931.58,943,7107.99,1069.5,43626.84
