Théâtres,1866-03-18,1866-03-19,1866-03-20,1866-03-21,1866-03-22,1866-03-23,1866-03-24,18 - 24 mar.
Opéra,7835.62,5390.5,,6861.35,,9695.35,,29782.82
Théâtre Français,2290,5769.5,5619.5,5610.5,1262,5831.5,5428.5,31811.5
Opéra-Comique,6417,2166.25,3591.1,2928.5,2790.5,2509.5,2769,23171.85
Théâtre des Italiens,,3136,10409,,5312,,16818,35675
Odéon,1580.75,2540.5,3403.25,5599,5606.5,5211,4767.5,28708.5
Théâtre-Lyrique,1506.6,1621.1,3567.1,1005.1,2939.1,2532.6,2688.6,15860.2
Vaudeville,,,,,,,,
Théâtre des Variétés,3656,3854.5,3800,3865.5,3669.5,3714.5,3624.5,26184.5
Gymnase,2845,1769.75,1874.5,1923.5,1556.75,1720.75,1497.5,13187.75
Palais-Royal,3210.5,2377.25,1602.25,1851.75,1705.25,1611.5,1529.25,13887.75
Porte Saint-Martin,1912,896.5,860,,3433.75,2905.5,2292.25,12300
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,31253.47,29521.85,34726.7,29645.2,28275.35,35732.2,41415.1,230569.87
