Théâtres,1866-11-18,1866-11-19,1866-11-20,1866-11-21,1866-11-22,1866-11-23,1866-11-24,18 - 24 nov.
Opéra,6051.63,6396.28,,6041.81,,9650.28,,28140
Théâtre Français,3464.5,2862,2590,2382.5,2698,2459.5,2762,19218.5
Opéra-Comique,6246.5,3407.5,2476.5,5092.5,2178,5243,2209,26853
Théâtre des Italiens,,,9758,,3496,,11223,24477
Odéon,4404,3284,3065,2843,8215.5,617.5,3074.75,25503.75
Théâtre-Lyrique,4351.1,1601.6,2569.1,,3445.1,3204.1,2572.1,17743.1
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,2848.25,4907,,4728.75,4836.25,4406,4801.75,26528
Palais-Royal,4254.25,,,4238.25,4224.75,4231.25,,16948.5
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,31620.23,22458.38,20458.6,25326.81,29093.6,29811.63,26642.6,185411.85
