Théâtres,1866-04-22,1866-04-23,1866-04-24,1866-04-25,1866-04-26,1866-04-27,1866-04-28, 22 - 28 avr.
Opéra,,10972.78,,10873.62,,11217.88,12344.8,45409.08
Théâtre Français,2381.5,4167.5,4256,3943.5,1004,3984,3662,23398.5
Opéra-Comique,2568.25,3706.5,3146,2854.25,3906.5,3181,2678.25,22040.75
Théâtre des Italiens,,12412,5251,,4332,,6131,28126
Odéon,659,2231.25,2158.5,1599.75,2068.5,2161.25,1905,12783.25
Théâtre-Lyrique,2655.1,,3782.6,2120.6,,2537.1,1805.6,12901
Vaudeville,,,,,,,,
Théâtre des Variétés,1385.5,3422,3264.5,3018,2577,2753.5,2385.5,18806
Gymnase,1748.5,1242.5,1286.5,984.75,1174.5,990.5,1124.25,8551.5
Palais-Royal,1804,1510,1229,1463.25,950,917.75,1355,9229
Porte Saint-Martin,2474.25,2112,2429,1920,2123,1738.25,1448,14244.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,15676.1,41776.53,26803.1,28777.72,18135.5,29481.23,34839.4,195489.58
