Théâtres,1866-06-24,1866-06-25,1866-06-26,1866-06-27,1866-06-28,1866-06-29,1866-06-30,24 - 30 juin
Opéra,,5247.22,,6136.75,,4877.04,,16261.01
Théâtre Français,562,465.5,451.5,529,261,535,320.5,3124.5
Opéra-Comique,772.5,721.5,717,348.5,367,794.75,668,4389.25
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,705.1,713.6,2846.1,545.1,2264.1,434.1,2208.1,9716.2
Vaudeville,,,,,,,,
Théâtre des Variétés,,525.5,584,365.5,526.5,323.5,630,2955
Gymnase,256.5,252.25,266,412.75,108.5,239,227.25,1762.25
Palais-Royal,538,278.5,301,335,205,185,302.5,2145
Porte Saint-Martin,1528.75,,,,494,405.25,,2428
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,4362.85,8204.07,5165.6,8672.6,4226.1,7793.64,4356.35,42781.21
