Théâtres,1866-03-25,1866-03-26,1866-03-27,1866-03-28,1866-03-29,1866-03-30,1866-03-31, 25 - 31 mar.
Opéra,,5910.51,,,,,,5910.51
Théâtre Français,2454.5,5059,4876,4977,,,,17366.5
Opéra-Comique,5879,1966.5,1797,3932.5,,,,13575
Théâtre des Italiens,,10486,5699,,12946,,7779,36910
Odéon,1302.5,4875,4514,4651.5,,,,15343
Théâtre-Lyrique,1709.6,1758.6,653.1,2491.6,,,,6612.9
Vaudeville,,,,,,,,
Théâtre des Variétés,2071.5,,3190,3033.5,3072.5,,3286.5,14654
Gymnase,2924.75,,1097,1583.5,1310.5,,1080.25,7996
Palais-Royal,3124.75,,1147.5,1335.5,1605,,1210.75,8423.5
Porte Saint-Martin,3613.5,2510.25,2493.75,2557.75,2560.25,,2773.5,16509
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,23080.1,32565.86,25467.35,24562.85,21494.25,0,16130,143300.41
