Théâtres,1866-04-08,1866-04-09,1866-04-10,1866-04-11,1866-04-12,1866-04-13,1866-04-14,8 - 14 avr.
Opéra,,11287.25,,11358.2,,11413.76,,34059.21
Théâtre Français,3019,5494.5,5175.5,5354,1879.5,5242.5,4698,30863
Opéra-Comique,6649.5,2391,4294.5,2193,4295.75,2079.5,3765,25668.25
Théâtre des Italiens,,,13402,,4503,,14723,32628
Odéon,913.25,2804.75,3580.75,3204,3527.5,3133.5,3241.5,20405.25
Théâtre-Lyrique,4809.6,2458.6,3833.1,1813.1,3383.6,2301.1,4069.1,22668.2
Vaudeville,,,,,,,,
Théâtre des Variétés,1587.5,3548,3369,3601,3626,3455.5,3568,22755
Gymnase,2237,1429.25,1691.75,1779.5,1449.5,1487,1352,11426
Palais-Royal,2717.25,2113.25,2303.75,2012.5,2108.5,2236.75,1908,15400
Porte Saint-Martin,3616.75,3015.75,3143.5,3045.75,3095.75,2670.25,2136.5,20724.25
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,25549.85,34542.35,40793.85,34361.05,27869.1,34019.86,39461.1,236597.16
