Théâtres,1866-02-11,1866-02-12,1866-02-13,1866-02-14,1866-02-15,1866-02-16,1866-02-17,11 - 17  fév.
Opéra,8163.05,8353.02,5812.8,10257.02,,5536.64,,38122.53
Théâtre Français,4516.5,6072.5,6483,6030,6002.5,5941.5,6044.5,41090.5
Opéra-Comique,6760,7161.5,7576.5,4679,5037,5609,5166.5,41989.5
Théâtre des Italiens,,3077,14873,,4428,,16850,39228
Odéon,3289.75,1897.25,3040.25,1093.5,1129.5,424,1072.25,11946.5
Théâtre-Lyrique,5753.1,6159.6,6440.6,2692.1,4360.6,1839.6,4547.6,31793.2
Vaudeville,,,,,,,,
Théâtre des Variétés,1871.5,4385.5,4588.5,4082.5,4059,4072,4161.5,27220.5
Gymnase,4438.25,4504.5,4587.25,3701,3541.5,3858.25,4023,28653.75
Palais-Royal,4011.25,4026.25,4742.25,2818.5,2821,3015,3243.75,24678
Porte Saint-Martin,4689.25,5760.5,5958,3370.5,3433.75,2811,2755.75,28778.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,43492.65,51397.62,64102.15,38724.12,34812.85,33106.99,47864.85,313501.23
