Théâtres,1866-04-01,1866-04-02,1866-04-03,1866-04-04,1866-04-05,1866-04-06,1866-04-07,1 - 7 avr.
Opéra,,7924.31,,10732.75,,11267.8,,29924.86
Théâtre Français,3093,6238,6053.5,5965,2619.5,5995,5640.5,35604.5
Opéra-Comique,6718.5,5809,5978.5,3228.5,5430,3981.5,5911.5,37057.5
Théâtre des Italiens,,4543,5104,,14429,,15731,39807
Odéon,4419.25,5179.5,4102,4022.75,3925.75,4881.5,4121,30651.75
Théâtre-Lyrique,4576.1,5012.6,3142.6,5523.1,4719.6,3454.1,4480.5,30908.6
Vaudeville,,,,,,,,
Théâtre des Variétés,4339.5,4287,3930,3804,3802.5,3577,3798.5,27538.5
Gymnase,1772.75,2197.75,1722.5,1828.25,1652,2309.25,1569.25,13051.75
Palais-Royal,2212.5,2907,3621.75,2305.25,2132.75,2619.75,2426,18225
Porte Saint-Martin,4142.99,4906,4367,4527,4346.25,4141,3440.75,29870.99
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,31274.59,49004.16,38021.85,41936.6,43057.35,42226.9,47119,292640.45
