Théâtres,1866-06-10,1866-06-11,1866-06-12,1866-06-13,1866-06-14,1866-06-15,1866-06-16,10 - 16 juin
Opéra,,6428.76,,7967.21,,6515.08,,20911.05
Théâtre Français,1597.5,547,704,1218.5,1010.5,823,827.5,6728
Opéra-Comique,1696.5,876.5,2318.5,1086.5,2001,1818,2940.6,12737.6
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,608.6,729.6,3767.6,1961,3853,1555.5,2845.5,15320.8
Vaudeville,,,,,,,,
Théâtre des Variétés,179.5,1115,743.5,,,1191.5,1411.5,4641
Gymnase,196,433.25,562,651.25,,553,642.5,3038
Palais-Royal,360,914.75,710.75,,,1411.5,805.75,4202.75
Porte Saint-Martin,393,457.75,374.75,,,,,1225.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,5031.1,11502.61,9181.1,12884.46,6864.5,13867.58,9473.35,68804.7
