Théâtres,1866-12-02,1866-12-03,1866-12-04,1866-12-05,1866-12-06,1866-12-07,1866-12-08,2 - 8 déc.
Opéra,5696.63,5854.65,,6562.33,,8748.3,,26861.91
Théâtre Français,5041.5,2222,2665,1883,2912.5,1780,2257,18761
Opéra-Comique,1745.5,2419,5654.75,3149.5,5629,1871,6229.5,26698.25
Théâtre des Italiens,889,,4295,,4544,,,9728
Odéon,4228,3022.5,3114,2636,2700.75,501.75,3344.5,19547.5
Théâtre-Lyrique,5002.1,2881.6,892.6,2462.1,,2351.6,843,14433
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3033.75,4601.25,4513.75,4492.25,4488,4234.75,4508.75,29872.5
Palais-Royal,,4020.5,,,,,,4020.5
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,25636.48,25021.5,21135.1,21185.18,20274.25,19487.4,17182.75,149922.66
