Théâtres,1866-09-16,1866-09-17,1866-09-18,1866-09-19,1866-09-20,1866-09-21,1866-09-22,16 - 22 sept.
Opéra,4401.75,8195.75,,6632.15,,6837.6,,26067.25
Théâtre Français,2834,1265,1869.5,2457,1714,1581,2169,13889.5
Opéra-Comique,4722.5,1394.5,1626,2834,1626.5,2723.5,1585,16512
Théâtre des Italiens,,,,,,,,
Odéon,2292.25,920.5,862.25,794.75,624.25,434,870.25,6798.25
Théâtre-Lyrique,4164.6,3163.6,2204.6,3361.6,2055.6,3596.6,2030.1,20576.7
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,2681,1017,1007,1079.25,1439.25,1287,924.75,9435.25
Palais-Royal,3205.75,1713.75,2105,2034.25,1504.25,2128.5,1819,14510.5
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,24301.85,17670.1,9674.35,19193,8963.85,18588.2,9398.1,107789.45
