Théâtres,1866-11-11,1866-11-12,1866-11-13,1866-11-14,1866-11-15,1866-11-16,1866-11-17,11 - 17 nov.
Opéra,4871.63,7728.33,,6377.37,,6667.99,,25645.32
Théâtre Français,5222,2419.5,2682.5,2266.5,3302,2616,3297,21805.5
Opéra-Comique,5227,1812.25,1882,3064,,2615,2960.5,17560.75
Théâtre des Italiens,1331,,8244,,10135,,,19710
Odéon,4403.75,3639.5,2881.25,3237.25,3180.75,459.25,3924,21725.75
Théâtre-Lyrique,4869.6,3260.6,,3365.6,3158.6,3758.1,3878.6,22291.1
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3051.5,4803.25,4772.5,4655.75,4930.5,4951.75,4836.75,32002
Palais-Royal,4285.25,4215.75,4279.75,4256.25,4250.75,4207.25,,25495
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,33261.73,27879.18,24742,27222.72,28957.6,25275.34,18896.85,186235.42
