Théâtres,1866-10-07,1866-10-08,1866-10-09,1866-10-10,1866-10-11,1866-10-12,1866-10-13,7 - 13 oct.
Opéra,3343.63,6119.86,,8707.31,,6229.17,,24399.97
Théâtre Français,2435.99,1547,1507.5,2410.5,1706.5,1954.5,2257.5,13819.49
Opéra-Comique,3824,3045.25,2492.5,1906.25,2515,2751.75,2518.5,19053.25
Théâtre des Italiens,,,,,,,,0
Odéon,1331.25,677,619,818,638.75,394.5,813,5291.5
Théâtre-Lyrique,3626.1,,3286.6,2611.1,2820.6,2456.1,3401.6,18202.1
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,4113,4754.5,4744,4718.75,4672.55,4681.5,4572.25,32256.55
Palais-Royal,2031.5,1710,,,,1852.26,,5593.76
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,20705.47,17853.61,12649.6,21171.91,12353.4,20319.78,13562.85,118616.62
