Théâtres,1866-07-01,1866-07-02,1866-07-03,1866-07-04,1866-07-05,1866-07-06,1866-07-07,1 - 7 juil.
Opéra,,5566.72,,6870.16,,6947.03,,19383.91
Théâtre Français,1401,796,1744.5,977.5,1554.5,771.5,1634,8879
Opéra-Comique,3503.5,1247.5,2047,1213,1413,2273,,11697
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,,,,,,,
Théâtre des Variétés,1532.5,1957,2304.5,1427,1147,1352,1142.5,10862.5
Gymnase,1757.75,1666.75,1482.5,1144.25,1433.5,1486,1357,10327.75
Palais-Royal,1310.5,802.5,3685,1202.25,1261.5,1317.25,1714.5,11293.5
Porte Saint-Martin,3189.75,,,1350.25,1239,863,1215,7857
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,12695,12036.47,11263.5,14184.41,8048.5,15009.78,7063,80300.66
