Théâtres,1866-08-19,1866-08-20,1866-08-21,1866-08-22,1866-08-23,1866-08-24,1866-08-25,19 - 25 août 
Opéra,,6467.03,,6546.5,,7942.53,,20956.06
Théâtre Français,1094,1475.5,401.5,2061.5,973,,1107,7112.5
Opéra-Comique,2416.5,1186.5,1777,1252.75,1131,1112,874.5,9750.25
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,4514.6,1048.6,3579.6,,2578.1,,1917.6,13638.5
Vaudeville,,,,,,,,
Théâtre des Variétés,1140,777,597.5,592.5,333.5,482,406.5,4329
Gymnase,1171.75,457,627.25,375.75,522.5,571,350,4075.25
Palais-Royal,1808.5,1006,2100,1903,1505.25,2305.5,1511,12139.25
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,12145.35,12417.63,9082.85,12732,7043.35,12413.03,6166.6,72000.81
