Théâtres,1866-01-21,1866-01-22,1866-01-23,1866-01-24,1866-01-25,1866-01-26,1866-01-27,21 - 27 jan.
Opéra,,7109.92,,5903.11,,6613.06,,19626.09
Théâtre Français,3245,4985.5,5157.5,1515,5537,2125,6232,28797
Opéra-Comique,6116,3013,5595,3208.5,5856.5,3162,7274,34225
Théâtre des Italiens,,3220,12233,,4918,,13384,33755
Odéon,3624,1475.5,1495.5,1900,1422.5,357.5,2050.25,12325.25
Théâtre-Lyrique,3144.6,5603.6,1821.6,5524.1,1132.6,5752.6,3043.6,26022.7
Vaudeville,,,,,,,,
Théâtre des Variétés,3800,1404,1045,1204.5,1143.5,859.5,1487,10943.5
Gymnase,3454.75,2733,3015.75,3141,3205,3286,3825.5,22661
Palais-Royal,3110.5,2103.25,2110.25,2125.25,2363,1803,3047.5,16662.75
Porte Saint-Martin,4576.75,3889.75,4133.75,3629.75,3459.75,3195.26,4362.75,27247.76
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,31071.6,35537.52,36607.35,28151.21,29037.85,27153.92,44706.6,232266.05
