Théâtres,1866-03-11,1866-03-12,1866-03-13,1866-03-14,1866-03-15,1866-03-16,1866-03-17,11 - 17 mar.
Opéra,,7023.51,,10493.85,,7739.3,,25256.66
Théâtre Français,2771.5,5975,5702.5,5600,2150,5883,5789,33871
Opéra-Comique,6838,2733,3553.5,3358.5,3675.25,3034,3657,26849.25
Théâtre des Italiens,,9983,7496,,4949,,13842,36270
Odéon,1936.75,401.25,416.25,473,381,256.5,1700.5,5565.25
Théâtre-Lyrique,2687.6,2921.1,2334.1,3678.1,2448.1,4470.6,868.6,19408.2
Vaudeville,,,,,,,,
Théâtre des Variétés,2310,3945,3880,3740.5,3818,3605,3729,25027.5
Gymnase,3437.75,2211.25,2794.75,2387.75,2501.75,2090.75,,15424
Palais-Royal,3911.25,2704.5,2811.25,2602,2539,2502.75,2621.25,19692
Porte Saint-Martin,4304.25,1700.25,1584.75,1592.25,1454.4,1234.5,927,12797.4
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,28197.1,39597.86,30573.1,33925.95,23916.5,30816.4,33134.35,220161.26
