Théâtres,1866-04-15,1866-04-16,1866-04-17,1866-04-18,1866-04-19,1866-04-20,1866-04-21,15 - 21 avr.
Opéra,,14407.78,,11453.7,,11420.4,,37281.88
Théâtre Français,2381,4652.5,4618,4421.5,13853,4538.5,4241,38705.5
Opéra-Comique,6185.5,2142.5,3956,2146.5,3292.25,2346.5,4046,24115.25
Théâtre des Italiens,,3307,12154,,12413,,14998,42872
Odéon,705,2742.25,2799.25,2770.25,2311.25,2639.25,2443.5,16410.75
Théâtre-Lyrique,4679.6,824.1,3076.1,668.1,2800.6,2827.6,3580.1,18456.2
Vaudeville,,,,,,,,
Théâtre des Variétés,2050.5,3325,3441,3381.5,2825,3403.5,3305,21731.5
Gymnase,,1164,1103.5,1148.5,1075.5,1262.25,4003,9756.75
Palais-Royal,2328.25,1605,1854.25,1413.75,1132.25,1403.5,,9737
Porte Saint-Martin,2540,2168.25,2423.75,2033,2586.75,2482.25,2516.75,16750.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,20869.85,36338.38,35425.85,29436.8,42289.6,32323.75,39133.35,235817.58
