An 1866,,,,,,,
Mois,Semaines,,,,,,Total mois
Janvier,205013.44,192252.55,218829.06,232266.05,145657.12,,994018.22
Février,88533.7,279208.75,313501.23,256432.08,122948.96,,1060624.72
Mars,101025.94,248667.39,220161.26,230569.87,143300.41,,943724.87
Avril,292640.45,236597.16,235817.58,195489.58,51517.63,,1012062.4
Mai,149654.31,174205.17,159211.5,157757.08,99813.16,,740641.22
Juin,37646.27,93964.7,68804.7,84190.01,42781.21,,327386.89
Juillet,80300.66,43626.84,42185.21,56628.91,29774.97,,252516.59
Août,32954.31,67177.48,75883.53,72000.81,61065.17,,309081.3
Septembre,8985.3,85830.88,99715.99,107789.45,109971.93,11055.85,423349.4
Octobre,111304.89,118616.62,141003.2,147552.3,81236.69,,599713.7
Novembre,70228,169708.04,186235.42,185411.85,151075.37,,762658.68
Décembre,29042.1,149922.66,152570.58,149583.02,145654.47,44165.84,670938.67
Total an,1207329.37,1859778.24,1913919.26,1875671.01,1184797.09,55221.69,8096716.66
