Théâtres,1866-02-25,1866-02-26,1866-02-27,1866-02-28,1866-03-01,1866-03-02,1866-03-03,25 - 28 fév.,1 - 3 mar.
Opéra,4728.13,10084.51,,5393.51,,8368.14,,20206.15,8368.14
Théâtre Français,2848,6090.5,5956,5872,1132.5,6081,6002.5,20766.5,13216
Opéra-Comique,4745.5,2728,4020.75,3805.5,4738.5,4013,4591.75,15299.75,13343.25
Théâtre des Italiens,,4085,9725,,10807,,11800,13810,22607
Odéon,2427.75,1039.5,841.75,580.5,913.75,357,4576,4889.5,5846.75
Théâtre-Lyrique,,1374.1,2923.1,3139.1,3111.1,4169.1,4336.6,7436.3,11616.8
Vaudeville,,,,,,,,,
Théâtre des Variétés,2359.5,4034.5,4053,3923,4150.5,4076.5,4135.5,14370,12362.5
Gymnase,3714.5,3187.25,2853.5,2564,2910.75,3258.75,2832.75,12319.25,9002.25
Palais-Royal,3515,2323,1862,1713.26,2359.5,2303.75,,9413.26,4663.25
Porte Saint-Martin,4438.25,,,,,,,4438.25,
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,28776.63,34946.36,32235.1,26990.87,30123.6,32627.24,38275.1,122948.96,101025.94
