Théâtres,1866-06-17,1866-06-18,1866-06-19,1866-06-20,1866-06-21,1866-06-22,1866-06-23,17 - 23 juin
Opéra,,7199.26,,5975.21,,,5733.08,18907.55
Théâtre Français,1816.5,932,883,952.5,745.5,410,623.5,6363
Opéra-Comique,3755.5,2345.5,2982.75,1548.75,956.5,873.75,1325,13787.75
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,1983.6,1858.6,4643.1,2175.6,3006.6,2294.6,3238.6,19200.7
Vaudeville,,,,,,,,
Théâtre des Variétés,5284,1693.5,1473,,774.5,688,690.5,10603.5
Gymnase,1561.5,1215.25,925.75,706,749.5,667,607.75,6432.75
Palais-Royal,2413.26,2206.5,1810,817.25,516,512.25,,8275.26
Porte Saint-Martin,,,,,,,619.5,619.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,16814.36,17450.61,12717.6,12175.31,6748.6,5445.6,12837.93,84190.01
