Théâtres,1866-05-06,1866-05-07,1866-05-08,1866-05-09,1866-05-10,1866-05-11,1866-05-12, 6 - 12 mai
Opéra,,11108.87,,9601.5,,8076.5,9735.8,38522.67
Théâtre Français,2721.5,3518,3688.5,3743,1727,3747,3761,22906
Opéra-Comique,4631.75,3327,3468.5,2630,3681.25,3771.5,3355,24865
Théâtre des Italiens,,,,,,,,
Odéon,2597.75,1439.25,1562.25,1370.5,2260,1352.25,10411.5,20993.5
Théâtre-Lyrique,960.1,,983.6,724,4371.6,527.1,5695.1,13261.5
Vaudeville,,,,,,,,
Théâtre des Variétés,1337,2597,2458.5,2557,2653.5,2812,,14415
Gymnase,682.75,901,1876.5,,2543,2684.25,,8687.5
Palais-Royal,2543.75,2611.5,2414.25,2827.25,2909,2811.25,,16117
Porte Saint-Martin,1901.75,2048.75,2371.75,2169.75,1947.5,2247.5,1750,14437
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,17376.35,27551.37,18823.85,25623,22092.85,28029.35,34708.4,174205.17
