Théâtres,1866-05-20,1866-05-21,1866-05-22,1866-05-23,1866-05-24,1866-05-25,1866-05-26, 20 - 26 mai
Opéra,,9585.17,,8797.74,,8712.07,,27094.98
Théâtre Français,1704.5,4354,3148.5,2985.5,1950,3906.5,2720,20769
Opéra-Comique,2901,4306,2231,2820,2891.5,3076.5,3087,21313
Théâtre des Italiens,,,,,,,,
Odéon,363.25,1591.5,984.25,1135,1427,1639.5,1546.5,8687
Théâtre-Lyrique,2313.6,1984.6,5943.6,,5943.1,720.6,6046.6,22952.1
Vaudeville,,,,,,,,
Théâtre des Variétés,617.5,3103.5,2495.5,2444.5,2477,2930.5,2400.5,16469
Gymnase,1612,2378.5,2068.25,2209.75,2316.25,2862,1882,15328.75
Palais-Royal,1713.25,2565.25,1505.5,2015.25,2021,2814.25,1710.5,14345
Porte Saint-Martin,2193.25,3764.25,3385.25,,,,1455.5,10798.25
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,13418.35,33632.77,21761.85,22407.74,19025.85,26661.92,20848.6,157757.08
