Théâtres,1866-09-02,1866-09-03,1866-09-04,1866-09-05,1866-09-06,1866-09-07,1866-09-08,2 - 8 sept.
Opéra,,6161.07,,6506.58,,8002.03,,20669.68
Théâtre Français,1080.5,1372,1624,948,984,1145,1495.5,8649
Opéra-Comique,4631.75,1278.5,1659,2216,1609.5,1586,1874,14854.75
Théâtre des Italiens,,,,,,,,
Odéon,1469,844.75,750.25,489,534.75,742.5,901.25,5731.5
Théâtre-Lyrique,3288.1,2098.1,1445.6,1903.6,1145.6,2846.6,3626.6,16354.2
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,1535.5,477.25,553,353.5,1229.25,1220,787.75,6156.25
Palais-Royal,3515.25,1814,2222.75,1910.25,1843.25,2110,,13415.5
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,15520.1,14045.67,8254.6,14326.93,7346.35,17652.13,8685.1,85830.88
