Théâtres,1866-01-28,1866-01-29,1866-01-30,1866-01-31,1866-02-01,1866-02-02,1866-02-03,28 - 31 jan.,1 - 3 fév.
Opéra,5952.62,10536.83,,5698.02,,9538.06,,22187.47,9538.06
Théâtre Français,3262,5822.5,5859,5864.5,2541.5,5920,6011,20808,14472.5
Opéra-Comique,5783,5334,2698,5590.5,1628,5596,,19405.5,7224
Théâtre des Italiens,,2477,16338,,12993,,6129,18815,19122
Odéon,3229,1500.25,1378,1372.25,1567.25,604.75,1565.59,7479.5,3737.59
Théâtre-Lyrique,4844.1,4733.1,996.1,4836.1,1553.6,4919.1,5378.1,15409.4,11850.8
Vaudeville,,,,,,,,,
Théâtre des Variétés,2187.5,1171.5,,,,,,3359,
Gymnase,4267.25,3693.5,3776,3705,,3844.5,4002.75,15441.75,7847.25
Palais-Royal,2805.25,1911.5,2304.5,1722.75,,1911.75,3160.5,8744,5072.25
Porte Saint-Martin,4356.5,3199.25,3298.5,3153.25,3234,3285.5,3149.75,14007.5,9669.25
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,36687.22,40379.43,36648.1,31942.37,23517.35,35619.66,29396.69,145657.12,88533.7
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,#NAME?
