Théâtres,1866-10-14,1866-10-15,1866-10-16,1866-10-17,1866-10-18,1866-10-19,1866-10-20, 14 - 20 oct.
Opéra,,8073.32,,5351.77,,7963.71,,21388.8
Théâtre Français,4164,1387,1916.5,2256,2168.5,1592,2560,16044
Opéra-Comique,5633.75,2842,1969,2767.5,2160.5,1966.5,2107.5,19446.75
Théâtre des Italiens,,,9481,,10044,,7444,26969
Odéon,1748.25,662.25,657,613,674.25,520.5,614,5489.25
Théâtre-Lyrique,,,2313.1,3010.1,,2762.6,5491.1,13576.9
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,2411.5,4648.25,4627.5,4661.5,4618,4535.75,4539,30041.5
Palais-Royal,2912,,,,1614.5,1712.75,1807.75,8047
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,16869.5,17612.82,20964.1,18659.87,21279.75,21053.81,24563.35,141003.2
