Théâtres,1866-01-07,1866-01-08,1866-01-09,1866-01-10,1866-01-11,1866-01-12,1866-01-13, 7 - 13 jan.
Opéra,5758.71,7299.5,,9605.64,,7864.15,,30528
Théâtre Français,3297,1170.5,913.5,819,1582.5,2329,1700,11811.5
Opéra-Comique,3919,3522.5,5916.5,4096.75,5181,3496.75,5869.5,32002
Théâtre des Italiens,,4272,5588,,4341,,5811,20012
Odéon,3206.25,1780.5,1526.25,1648,1284.75,347,1448.75,11241.5
Théâtre-Lyrique,2704.6,4691.6,2434.1,5379.1,2551.1,5529.1,2542.6,25832.2
Vaudeville,,,,,,,,
Théâtre des Variétés,3532,2919.5,2499.5,2703.5,2150.5,2414,2477,18696
Gymnase,1614.75,766.25,847.5,1226.25,493,984.25,769.35,6701.35
Palais-Royal,2620.5,2010,1810.25,2427,1831.25,2316.5,2412.75,15428.25
Porte Saint-Martin,3698.25,2939.75,2597.75,3039.5,2297.5,2991,2436,19999.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,30351.06,31372.1,24133.35,30944.74,21712.6,28271.75,25466.95,192252.55
