Théâtres,1861-09-15,1861-09-16,1861-09-17,1861-09-18,1861-09-19,1861-09-20,1861-09-21,15 - 21 sept.
Opéra,,,,,,,,
Théâtre Français,2678.7,1412.9,1451,1370.7,1817.5,1930.4,3275.5,13936.7
Opéra-Comique,3055.5,1817.5,2856.5,2146.25,3053,2474,1874.5,17277.25
Théâtre des Italiens,,,,,,,,0
Odéon,2424.75,619.25,884.75,467.75,513,615.25,540.75,6065.5
Théâtre-Lyrique,1775.5,989.25,3473.25,1163,2498.6,1250.25,2229.5,13379.35
Vaudeville,1642.5,829,1017.5,768.5,1337,1235,1668.5,8498
Théâtre des Variétés,3042.5,1908.5,1825,1552,1476.5,1634,2004,13442.5
Gymnase,3010.75,1438.5,1910,1433.5,1644.5,1329.5,1417.5,12184.25
Palais-Royal,3002.75,1809.75,1912.5,1601.25,1618.95,1708,1610,13263.2
Porte Saint-Martin,3809.5,2785.25,3002.25,2900.5,2934.25,3054,2402,20887.75
Gaîté,3011.85,1543.75,1236.15,1076.5,943.3,938,902.5,9652.05
Ambigu-Comique,3205.75,1618.5,1527.75,1302.75,1302,1458.5,1308.5,11723.75
Théâtre Impérial du Cirque,6214.9,5227.5,5064.5,5080,5002.75,5004.75,5002,36596.4
Folies-Dramatiques,1905.75,946.65,905.95,,,,,3758.35
Délassement Comiques,,,,,,,,0
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,1836,1743.5,1847.5,1527,1290,1754.5,1359.5,11358
Folies Nouvelles,,,,,,,,0
Total,40616.7,24689.8,28914.6,22389.7,25431.35,24386.15,25594.75,192023.05
