Théâtres,1861-01-13,1861-01-14,1861-01-15,1861-01-16,1861-01-17,1861-01-18,1861-01-19,13 - 19 jan.
Opéra,,,,,,,,
Théâtre Français,2870.1,4444.4,3488.4,4642.9,4396.5,2113.8,4912.6,26868.7
Opéra-Comique,2748,1456,1099.5,,2485.5,1869.5,,9658.5
Théâtre des Italiens,9178,,7638,,7809.2,,7464.7,32089.9
Odéon,928.75,1340.75,937.25,499,1446.75,568.25,937.25,6658
Théâtre-Lyrique,1949.5,1309.75,2158,850.25,1580.25,984,2098.25,10930
Vaudeville,3016,2316,2117,2420,2010,2281.5,2474.5,16635
Théâtre des Variétés,4039.5,3300,3177.5,3344,3068,3195,3243,23367
Gymnase,1932,2030.5,1955.25,1600.5,1020,1774.75,1795,12108
Palais-Royal,2647.5,1208.75,1239.75,1245.7,1314.9,1401,1412.2,10469.8
Porte Saint-Martin,4365,3452.25,3793.5,,,3650.75,4441,19702.5
Gaîté,2471.4,,1216.05,1001.4,1033.05,1001.9,770.5,7494.3
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,6460.4,4870,4604.2,4033.05,4538.05,4710.5,4261.5,33477.7
Folies-Dramatiques,2025.4,1297.95,1055.95,938.9,895,1184.45,,7397.65
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1453.5,1112,1427,1167.5,1021.5,1210.5,1435.5,8827.5
Folies Nouvelles,,,,,,,,
Total,46085.05,28138.35,35907.35,21743.2,32618.7,25945.9,35246,225684.55
