Théâtres,1861-10-13,1861-10-14,1861-10-15,1861-10-16,1861-10-17,1861-10-18,1861-10-19,13 - 19 oct.
Opéra,,,,,,,,
Théâtre Français,3181.1,1834.3,2682.8,2263.8,2681.7,2823.7,2536,18003.4
Opéra-Comique,2572,4197.75,2896,4234,2159.25,4360.25,2862,23281.25
Théâtre des Italiens,5215.1,,6354.2,,8123.3,,9631.5,29324.1
Odéon,1425.75,472.75,436.25,426.5,419.25,953.5,514.25,4648.25
Théâtre-Lyrique,3431.5,1094.25,1916.25,1151.75,1856.5,1440.75,1789.25,12680.25
Vaudeville,,2103.5,2007,1584.5,1850,1716.5,1701.5,10963
Théâtre des Variétés,2203.5,1080.5,1265,1340.5,1702,1500,1511,10602.5
Gymnase,1862.25,1234.25,1575.25,1669.5,1639.5,1596.75,1179,10756.5
Palais-Royal,2024,1232,1257.4,1302.45,1516,1611,1603.25,10546.1
Porte Saint-Martin,3322.75,2454.75,2539.25,2915.75,2739.5,2615,2941.75,19528.75
Gaîté,3473.8,2481.65,2139.65,2319,2677.45,2463.4,2301.4,17856.35
Ambigu-Comique,2501.75,1512.5,,,1802,2331.25,2103,10250.5
Théâtre Impérial du Cirque,5506.55,4304.95,4300.55,,4487.5,4785.5,4786.75,28171.8
Folies-Dramatiques,1505.55,733.65,2270.7,,651,651.9,612.1,6424.9
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1318.5,1109.5,1044.5,1431.5,985,1047.5,2708.5,9645
Folies Nouvelles,,,,,,,,
Total,39544.1,25846.3,32684.8,20639.25,35289.95,29897,38781.25,222682.65
