Théâtres,1861-11-24,1861-11-25,1861-11-26,1861-11-27,1861-11-28,1861-11-29,1861-11-30,24 - 30 nov.
Opéra,,,,,,,,
Théâtre Français,4158.9,4052.5,2033.7,3550.3,2562.2,3621.2,2806.1,22784.9
Opéra-Comique,4813,1969,3855,2049,2591.5,2575.5,3892,21745
Théâtre des Italiens,2380,,6647.8,,5890.65,,7052.1,21970.55
Odéon,2492,905.25,835.5,804,1124.75,480.5,1232.25,7874.25
Théâtre-Lyrique,3661.25,978,1254.75,526.25,1275.25,723.75,1326.25,9745.5
Vaudeville,3864.5,3925,4005,,3834.5,3938,3928.5,23495.5
Théâtre des Variétés,2902.5,1273,1213.5,1108,1011,1300,962,9770
Gymnase,2965,1791.75,1993.25,1778,1839.75,2594.25,1940.5,14902.5
Palais-Royal,3209,2221.5,1903.75,2410,1901,2014.25,1714,15373.5
Porte Saint-Martin,6016,4719.25,4745,4582.75,4829,4619,4651.25,34162.25
Gaîté,3131.9,1965.15,1754.75,1431.9,1632.3,1671.15,1503.9,13091.05
Ambigu-Comique,3317.75,1935.25,1526.25,1441.5,1326,1589.25,1296,12432
Théâtre Impérial du Cirque,5716.4,3702.05,3743,3104.5,4002,3648.5,4005.75,27922.2
Folies-Dramatiques,1675.55,821.1,520.15,,2018.1,617.65,649.3,6301.85
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,50303.75,30258.8,36031.4,22786.2,35838,29393,36959.9,241571.05
