Théâtres,1861-12-08,1861-12-09,1861-12-10,1861-12-11,1861-12-12,1861-12-13,1861-12-14,8 - 14 déc.
Opéra,,,,,,,,
Théâtre Français,4571.1,3194.5,2774.7,3682.6,1626.8,3227.9,2927.5,22005.1
Opéra-Comique,4264,821,2870,2380,2331.5,1939,3100,17705.5
Théâtre des Italiens,,,6999,,6818.5,,7247.2,21064.7
Odéon,2455.75,1018.5,875.5,771.75,564.25,559.5,678.5,6923.75
Théâtre-Lyrique,2369.75,803,2158.25,752,1794.95,790,1997,10664.95
Vaudeville,3942,3882,,3867.5,3938.5,3925.5,3854,23409.5
Théâtre des Variétés,2857.5,1114,1114,1070,803.5,857,2584.5,10400.5
Gymnase,3252,2023,1903.5,2173.75,1831,1931.75,2062.5,15177.5
Palais-Royal,2903.5,1517.25,1810.15,1703.45,1402.45,1615.75,1402.75,12355.3
Porte Saint-Martin,5647,4252.5,4490.5,4250.25,4329.25,4173.5,4133.75,31276.75
Gaîté,2944.2,1502.9,1475.7,1465.75,1291.25,,1153.75,9833.55
Ambigu-Comique,1170.75,1350.25,,1800.25,1838.25,2172.75,1731.25,10063.5
Théâtre Impérial du Cirque,5602.15,4403.3,4010.25,3647,3558.25,3831.75,3742.75,28795.45
Folies-Dramatiques,2367.35,2171.1,1956.2,1863.35,1827.4,1906.95,1622.75,13715.1
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Yotal,44347.05,28053.3,32437.75,29427.65,33955.85,26931.35,38238.2,233391.15
