Théâtres,1861-01-20,1861-01-21,1861-01-22,1861-01-23,1861-01-24,1861-01-25,1861-01-26,20 - 26 jan.
Opéra,,,,,,,,
Théâtre Français,3545.8,5200.2,4991.6,1928.1,4961.1,1634.2,5858.2,28119.2
Opéra-Comique,5201,1100.5,1385.75,1682,2608,2373.5,3850.5,18201.25
Théâtre des Italiens,,,7570,,7346.9,,9489.75,24406.65
Odéon,1042.5,402.5,370.25,559.75,1180,793,913,5261
Théâtre-Lyrique,1834,1589.75,1861.25,832.25,2375.75,1184.25,3580,13257.25
Vaudeville,2839,1816,2248,2296,1702.5,2472,3131,16504.5
Théâtre des Variétés,4001,2797.5,2963,2830,3082.5,2954,3255.5,21883.5
Gymnase,2654.95,1362.75,1015.25,1193.25,1167.25,1537.65,2458.5,11389.6
Palais-Royal,2643.5,1536,1101.45,1805.7,1802.45,1612.5,1804,12305.6
Porte Saint-Martin,4757.75,3325.5,4005.25,4320.75,,,5709,22118.25
Gaîté,1509.4,843.75,2253.25,1713.25,1658.5,1942.75,2022.75,11943.65
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,6208.25,4030.1,4534.5,4531.9,5003.2,4406.9,5512.75,34227.6
Folies-Dramatiques,2053.75,1155.95,1146.85,1020.7,1077.4,1052.45,1137.25,8644.35
Délassement Comiques,1470.8,1237.1,1204.15,1225,1154.2,,,6291.25
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1683,1428.5,1056.5,1125,1338,1140,1768.5,9539.5
Folies Nouvelles,,,,,,,,
Total,41444.7,27826.1,37707.05,27063.65,36457.75,23103.2,50490.7,244093.15
