Théâtres,1861-11-17,1861-11-18,1861-11-19,1861-11-20,1861-11-21,1861-11-22,1861-11-23,17 - 23 nov.
Opéra,,,,,,,,
Théâtre Français,4116.9,2612.8,2049.4,2987.9,1823,3771.3,2324.5,19685.8
Opéra-Comique,4386,1729,2763.75,1368.5,2576,1750,3309,17882.25
Théâtre des Italiens,,,6527.5,,6676.25,,7560,20763.75
Odéon,2893.75,1179.5,1027.25,981.75,930.5,456.5,997.5,8466.75
Théâtre-Lyrique,2235.5,2129.25,545.25,2340.25,561,2397.25,709.75,10918.25
Vaudeville,1109.5,2250.5,3012,3358,3606.5,3686.5,3908.5,20931.5
Théâtre des Variétés,1775,1047.5,972.5,1265,1393,984.5,1269,8706.5
Gymnase,3190.25,2441.25,2270.75,2213.5,2287.75,2114.5,,14518
Palais-Royal,2412,1406.5,1526.7,1102.7,1318.6,1204.85,1220,10191.35
Porte Saint-Martin,5530.5,4466.75,4466.75,4053.75,4657.75,4319.25,4594.5,32089.25
Gaîté,3656.5,2375.95,1912.4,1504.75,1522.75,1426.25,1404.3,13802.9
Ambigu-Comique,3702.75,2058.5,1767.5,1362,1618.25,1807.25,1370,13686.25
Théâtre Impérial du Cirque,6044.45,4244.05,3802,3219,4064,3647.75,3516.5,28537.75
Folies-Dramatiques,,902.55,565.05,454.05,483.05,,494.25,2898.95
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,41053.1,28844.1,33208.8,26211.15,33518.4,27565.9,32677.8,223079.25
