Théâtres,1861-06-23,1861-06-24,1861-06-254,1861-06-26,1861-06-27,1861-06-28,1861-06-29,23 - 29 juin.
Opéra,,,,,,,,
Théâtre Français,2081,738.4,1392.8,1159.9,1444.4,964,1913.4,9693.9
Opéra-Comique,2135.5,943.5,1405.5,857.5,1158,441,1318.5,8259.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,479,350.5,309.5,360,422,208.5,453,2582.5
Théâtre des Variétés,1851.5,,1282.5,1137,1119,1089,1434,7913
Gymnase,935.5,862,1070,819.75,772,671,962.5,6092.75
Palais-Royal,1312.15,663.2,1015.3,701.25,536.4,602.55,823.85,5654.7
Porte Saint-Martin,3106,1779.5,1779,2219.25,1944,1843.75,1918,14589.5
Gaîté,1135.75,602.15,759.25,664.5,701.15,416.25,839.25,5118.3
Ambigu-Comique,3069,2003,1603.5,1628,1601,1266.75,1415.5,12586.75
Théâtre Impérial du Cirque,1902.45,800.25,786.5,600,865,576.25,921.5,6451.95
Folies-Dramatiques,959.9,340.8,437.75,343.1,360.75,231.75,437,3111.05
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,18967.75,9083.3,11841.6,10490.25,10923.7,8310.8,12436.5,82053.9
 ,,,,,,,,
