Théâtres,1861-12-22,1861-12-23,1861-12-24,1861-12-25,1861-12-26,1861-12-27,1861-12-28,22 - 28 déc.
Opéra,,,,,,,,
Théâtre Français,3249.1,2431.3,2402.8,2460.1,1241.4,2115.6,2869.3,16769.6
Opéra-Comique,4251,694.5,1935,3928.5,1810,1079.25,1773.5,15471.75
Théâtre des Italiens,2578,,5628.5,,4175.4,,,12381.9
Odéon,811.75,575.5,710,828.25,546.5,441.25,336.75,4250
Théâtre-Lyrique,1238.25,331,643,2488.75,390.25,1312.5,353.75,6757.5
Vaudeville,2183.5,3654,3373,3609.5,3505,3703.5,3446.5,23475
Théâtre des Variétés,1390.5,,,,,,1686.5,3077
Gymnase,2401.75,1049,1613.75,2156.5,1549.25,1740.5,1708,12218.75
Palais-Royal,2812,1710.4,1419.9,1822.5,1505.75,1615.75,1295.75,12182.05
Porte Saint-Martin,4128.75,2187.75,2087,3612.5,2779.75,2710.25,2023.5,19529.5
Gaîté,2402.75,1241.25,1003.25,1947.25,1020.5,,,7615
Ambigu-Comique,2713.5,1373.75,1150.5,2108.25,1408.75,1125,1002.5,10882.25
Théâtre Impérial du Cirque,3704,2107.25,1878.8,4213.55,3343.95,2539.25,2083.25,19870.05
Folies-Dramatiques,,1202.8,1307.05,2001.25,,1210.1,,5721.2
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,33864.85,18558.5,25152.55,31176.9,23276.5,19592.95,18579.3,170201.55
