Théâtres,1861-09-22,1861-09-23,1861-09-24,1861-09-25,1861-09-26,1861-09-27,1861-09-28,22 - 28 sept.
Opéra,,,,,,,,
Théâtre Français,3729.6,2357.3,2872,3122.5,1877.8,3310.9,1822,19092.1
Opéra-Comique,3876.5,3406.5,3472.25,1800.5,2868,1862.5,,17286.25
Théâtre des Italiens,,,,,,,,
Odéon,2768,621,529.5,629.5,576.75,821.25,617.5,6563.5
Théâtre-Lyrique,3466,939.25,2057.5,726,2198.5,1616.25,2479,13482.5
Vaudeville,2302,1535.5,1402,1408,1214,1345,1729.5,10936
Théâtre des Variétés,3234,1951.5,1660,1713,1758,1902,1656.5,13875
Gymnase,3247,,1652.5,1531.5,1640.25,1553.25,1547.5,11172
Palais-Royal,3111.5,2210,1708.75,1914.4,1806.25,1752.25,1701.25,14204.4
Porte Saint-Martin,4266,2885.5,2956.75,2959.25,3240,3191.25,2906.75,22405.5
Gaîté,2890.55,1288.75,1262.75,1201.8,1195.75,2902.25,2575.75,13317.6
Ambigu-Comique,3432.5,1565.25,1904.25,1800.5,1660.75,2001.25,1536.25,13900.75
Théâtre Impérial du Cirque,6409.85,5108.5,5403,5237.5,5357,5331.5,5117,37964.35
Folies-Dramatiques,2154.85,1071.55,1202.5,923,962.35,974.8,832.4,8121.45
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1991,1513.5,1602,1648,1697.5,1367,1532,11351
Folies Nouvelles,,,,,,,,
Total,46879.35,26454.1,29685.75,26615.45,28052.9,29931.45,26053.4,213672.4
