Théâtres,1861-08-04,1861-08-05,1861-08-06,1861-08-07,1861-08-08,1861-08-09,1861-08-10,4 - 10 août 
Opéra,,,,,,,,
Théâtre Français,666.1,532.1,1115.5,511,779.2,2236.1,482.7,6322.7
Opéra-Comique,1852.5,643,795.75,722.5,2148.5,580.75,1669.5,8412.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,235,134.5,820.5,487.5,850.5,278.5,517,3323.5
Théâtre des Variétés,145.75,,,,,,,145.75
Gymnase,518.5,394.25,474.75,632,888,491.25,548.5,3947.25
Palais-Royal,304.5,243.1,,,,,,547.6
Porte Saint-Martin,1626.5,1313.5,1124,872.5,1410.25,,,6346.75
Gaîté,504,330.9,201.75,229.5,318.25,371,348,2303.4
Ambigu-Comique,701.75,407.23,328,311,643,425.59,,2816.57
Théâtre Impérial du Cirque,4003.9,3180.5,3627.05,3624.05,4286.25,3307,,22028.75
Folies-Dramatiques,,,,711.75,,405.05,503.85,1620.65
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,10558.5,7179.08,8487.3,8101.8,11323.95,8095.24,4069.55,57815.42
