Théâtres,1861-04-07,1861-04-08,1861-04-09,1861-04-10,1861-04-11,1861-04-12,1861-04-13,7 - 13 avr.
Opéra,,,,,,,,
Théâtre Français,3954.4,3644.9,3795.29,2187.7,3952.1,3154.6,4075.1,24764.09
Opéra-Comique,5125.25,1593,1452,6752,2798.75,2117,1527,21365
Théâtre des Italiens,1844,,5274.4,5458.5,5518.6,,8544.4,26639.9
Odéon,1095.75,4467.25,4392.75,245.75,4442,4285.5,4359.5,23288.5
Théâtre-Lyrique,1863.75,440.5,,1472.75,1325,1394.5,1632.5,8129
Vaudeville,1845.5,1748,1938,1682.5,2141.5,1725,1723.5,12804
Théâtre des Variétés,2184,2073,1782.5,1921,943.5,1763.5,1855,12522.5
Gymnase,2636,2606,2505.75,2778.75,2219.25,2718,2380,17843.75
Palais-Royal,3111.75,2512.25,2712.5,2605.75,2613.25,2713.5,2513.5,18782.5
Porte Saint-Martin,2161.75,1155,759.25,1147.75,,,,5223.75
Gaîté,2819.5,2017.9,1973.15,1800.5,2067.15,1757,1773.65,14208.85
Ambigu-Comique,1892.5,1173.75,1345.75,,,,,4412
Théâtre Impérial du Cirque,4689.15,2609.55,2756.45,2150.15,2383.2,2178,2997.35,19763.85
Folies-Dramatiques,918.8,641.45,538.8,637,388.85,1668.9,386.7,5180.5
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1953,1927.5,2013,2067,1838,,1959.5,11758
Folies Nouvelles,,,,,,,,
Total,38095.1,28610.05,33239.59,32907.1,32631.15,25475.5,35727.7,226686.19
