Théâtres,1861-02-17,1861-02-18,1861-02-19,1861-02-20,1861-02-21,1861-02-22,1861-02-23,17 - 23 fév.
Opéra,,,,,,,,
Théâtre Français,4078.7,4788.8,4762,1120.7,4851,,5088.5,24689.7
Opéra-Comique,5000,1507.5,5511,1346.25,5412,,5761.75,24538.5
Théâtre des Italiens,3848,,8209,,7608.5,,7475.45,27140.95
Odéon,2299.5,651.5,526.75,416.5,3744,438.25,477.25,8553.75
Théâtre-Lyrique,2098.75,1779.25,1391.75,2390.75,1259.25,2122,1761.5,12803.25
Vaudeville,2051.5,1450.5,1334.5,1842.5,865.5,1744,1692,10980.5
Théâtre des Variétés,2472.5,1703,1644.5,1552,1202,1591,1600.5,11765.5
Gymnase,3107.5,1758,1419.25,1813.25,1651.25,,2530.5,12279.75
Palais-Royal,3708.25,3304.75,3317.75,3373.75,3311.25,3410.25,3410.5,23836.5
Porte Saint-Martin,4416.25,3365.5,3712.25,2001.25,3518,3378.25,4007.5,24399
Gaîté,3432.5,2144.4,1719.4,2001.15,1763.25,1601.75,1804.3,14466.75
Ambigu-Comique,2546.25,1835.75,1616.25,1831.75,1520.25,1572.5,1370.25,12293
Théâtre Impérial du Cirque,4229.05,2473.25,2343,2436.25,2390.25,2043,2523,18437.8
Folies-Dramatiques,,850.05,2122.7,739.25,,906.8,1170.35,5789.15
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1462,1374.5,1276,1130.5,1062.5,,,6305.5
Folies Nouvelles,,,,,,,,
Total,44750.75,28986.75,40906.1,23995.85,40159,18807.8,40673.35,238279.6
