Théâtres,1861-06-09,1861-06-10,1861-06-11,1861-06-12,1861-06-13,1861-06-14,1861-06-15,9 - 15 juin.
Opéra,,,,,,,,
Théâtre Français,1811.3,2710.6,2625.4,1864.1,1478.5,599.4,1006.3,12095.6
Opéra-Comique,3865,3317.5,1814,692.5,1093.5,536,498.5,11817
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,1350.5,1454.5,1095.5,659.5,307,348,287.5,5502.5
Théâtre des Variétés,2504,1705,1408.5,629,579,483.5,185,7494
Gymnase,2109.25,1185.75,1324.5,876.25,503,346,375,6719.75
Palais-Royal,3016.75,1506.75,1307.65,710.3,511.8,303.6,407.6,7764.45
Porte Saint-Martin,4912,4040,3730.5,3476,2504,2233,1318,22213.5
Gaîté,3329.25,1878.65,1630.5,,633.75,504.5,436.75,8413.4
Ambigu-Comique,2055.75,978,1153,,728,1800,,6714.75
Théâtre Impérial du Cirque,4008.05,2022.05,1542.5,1609.45,791.75,771.75,540.5,11286.05
Folies-Dramatiques,1140.7,385.9,711.3,416,,259,175.5,3088.4
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,30102.55,21184.7,18343.35,10933.1,9130.3,8184.75,5230.65,103109.4
