Théâtres,1861-09-01,1861-09-02,1861-09-03,1861-09-04,1861-09-05,1861-09-06,1861-09-07,1 - 7 sept.
Opéra,,,,,,,,
Théâtre Français,1412.1,439,728.8,1095,875.8,935.7,735.7,6222.1
Opéra-Comique,874,494.25,637.5,531,1070,1146,1146.5,5899.25
Théâtre des Italiens,,,,,,,,
Odéon,,1285.25,355,395,564,302.5,311.75,3213.5
Théâtre-Lyrique,1549,557.25,,456.25,1453,,1446,5461.5
Vaudeville,482,405,,,,514,1155,2556
Théâtre des Variétés,1134.5,1052.5,1071.5,1118.5,1190.5,1036,1440,8043.5
Gymnase,725.25,539.5,635.5,764,706.5,664,950,4984.75
Palais-Royal,1005,619.25,831,"1.12,50",1110,1110.45,1232,5907.7
Porte Saint-Martin,2350,2140.25,2590.5,2303.25,2495.5,,2128.25,14007.75
Gaîté,2004.75,1202.75,874.75,864,766.05,788.75,974.75,7475.8
Ambigu-Comique,1526,1057.75,964.5,1104,1004,741.75,908.5,7306.5
Théâtre Impérial du Cirque,4091.35,3106.6,3357,3601.7,3607.65,3210.75,3520.75,24495.8
Folies-Dramatiques,,428.6,375.3,,,,443,1246.9
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,17153.95,13327.95,12421.35,12232.7,14843,10449.9,16392.2,96821.05
