Théâtres,1861-10-06,1861-10-07,1861-10-08,1861-10-09,1861-10-10,1861-10-11,1861-10-12,6 - 12 oct.
Opéra,,,,,,,,
Théâtre Français,3278.4,1959.6,2776.7,2156.4,2334.1,2720,2629.4,17854.6
Opéra-Comique,2881,3574,3244.5,3419,2633,3747,2747,22245.5
Théâtre des Italiens,,,4553.15,,8020.1,,6337,18910.25
Odéon,1031.75,442.25,502.5,356.25,477,362.75,531,3703.5
Théâtre-Lyrique,2249.6,1220.75,739,1351.5,2239.75,1462.5,1345.75,10608.85
Vaudeville,1446,858,1004.5,934.5,852,882.5,2285,8262.5
Théâtre des Variétés,1623,1216,1115.5,1390.5,1269,1469,1686,9769
Gymnase,1354.25,1304.5,854.25,1143.75,2047.75,1912.5,1259,9876
Palais-Royal,1901,1206.75,1503.75,1348.15,1202.9,1912.25,1601,10675.8
Porte Saint-Martin,3127.5,3084.25,2787,2508,2646.5,2294.75,2684,19132
Gaîté,3600.4,2777.3,2353.4,2275.4,2032.25,2426.9,2227.55,17693.2
Ambigu-Comique,2701.75,1308.5,1118.25,1051.5,1351.5,1238.5,1366.75,10136.75
Théâtre Impérial du Cirque,5624.3,5005.65,4993.6,4007.75,3501.25,3850.3,,26982.85
Folies-Dramatiques,,,502.75,572.25,,,,1075
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1143.5,1227,1124,961,932,1301.5,1342,8031
Folies Nouvelles,,,,,,,,
Total,31962.45,25184.55,29172.85,23475.95,31539.1,25580.45,28041.45,194956.8
 ,,,,,,,,
