Théâtres,1861-12-15,1861-12-16,1861-12-17,1861-12-18,1861-12-19,1861-12-20,1861-12-21,15 - 21 déc.
Opéra,,,,,,,,
Théâtre Français,3486.2,2984.6,1514.4,3493.6,2037.7,3010.2,2292.7,18819.4
Opéra-Comique,4971,1208.5,916,1005.5,2520.75,1329.5,2264.5,14215.75
Théâtre des Italiens,2584.5,,7536.7,,4592.5,,7794.2,22507.9
Odéon,1693.5,769,765.25,707.5,592.5,464.25,640.25,5632.25
Théâtre-Lyrique,3001.5,845.75,1727,641.5,1215.5,766.75,1331.75,9529.75
Vaudeville,3948,3822.5,3809,3920.5,3727,3744,3709,26680
Théâtre des Variétés,2503.5,1008,1120,1087.5,1125.5,1108,928,8880.5
Gymnase,2249.25,1756.25,1713.25,1798.25,1899,2168,1726.25,13310.25
Palais-Royal,3425.25,1416.75,1518.25,4121,2013.35,1702.4,1871.9,16068.9
Porte Saint-Martin,5005,3799.5,4002,3662.5,,4012.75,2810.5,23292.25
Gaîté,3302.4,1844.65,1549,1504.9,1409,1430.75,808.15,11848.85
Ambigu-Comique,3824,1802,2103.75,1812,1607.25,1620.75,1500.75,14270.5
Théâtre Impérial du Cirque,5641.25,3355,3054.25,2838.75,3218,2607.25,,20714.5
Folies-Dramatiques,2240.5,2037.1,,1604.15,,1503.4,1260.35,8645.5
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,47875.85,26649.6,31328.85,28197.65,25958.05,25468,28938.3,214416.3
