Théâtres,1861-09-29,1861-09-30,1861-10-01,1861-10-02,1861-10-03,1861-10-04,1861-10-05,29 - 30 sept.,1 - 5 oct.
Opéra,,,,,,,,,
Théâtre Français,3420.4,2566.7,2821.6,2510.7,2600.5,2679.3,2437.5,5987.1,13049.6
Opéra-Comique,2766,3455.5,1265,3456,1611.5,3469,3226.5,6221.5,13028
Théâtre des Italiens,,,8938.15,,5395.9,,6272,,20606.05
Odéon,2422.25,610,558.75,522,501.75,531.75,308.5,3032.25,2422.75
Théâtre-Lyrique,4468.25,1154.5,1700,914,2103,1177,1972,5622.75,7866
Vaudeville,2139.5,1348,873.5,1027,1061,1164.5,851,3487.5,4977
Théâtre des Variétés,2829,1616.5,1320,1336,1119,1444.5,1431.5,4445.5,6651
Gymnase,2466.75,1466.25,1298.5,1435.75,1460.5,1684,1605.5,3933,7484.25
Palais-Royal,3003.25,1506.5,1611.75,1227.75,1721.5,1409.25,1561.4,4509.75,7531.65
Porte Saint-Martin,3299,2572,3856.25,2590.5,2766,2839.25,3195.25,5871,15247.25
Gaîté,3816.2,3089.85,3003.55,2903.65,2812.45,2782.75,2650.3,6906.05,14152.7
Ambigu-Comique,3301.5,,1601.25,1250.25,1545.25,1704.25,1204.25,3301.5,7305.25
Théâtre Impérial du Cirque,6403.75,5274.6,5051.75,5003.75,4803.75,5141,5007,11678.35,25007.25
Folies-Dramatiques,2003.15,1067.95,818.75,,618.9,705.9,531.9,3071.1,2675.45
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,1692,1307,1259,1282,1346.5,1529.5,1270.5,2999,6687.5
Folies Nouvelles,,,,,,,,,
Total,44031,27035.35,35977.8,25459.35,31467.5,28261.95,33525.1,71066.35,154691.7
